Year_Month,Fuel_Category,County,Count
2024/04,Electric,MONTGOMERY,23026
2024/04,Plug-In Hybrid,MONTGOMERY,9321
2024/04,Electric,HOWARD,8609
2024/04,Electric,ANNE ARUNDEL,8308
2024/04,Electric,PRINCE GEORGES,7121
2024/04,Electric,BALTIMORE,6986
2024/04,Plug-In Hybrid,ANNE ARUNDEL,5084
2024/04,Electric,FREDERICK,3889
2024/04,Electric,BALTIMORE CITY,3127
2024/04,Plug-In Hybrid,BALTIMORE,3058
2024/04,Plug-In Hybrid,HOWARD,2609
2024/04,Plug-In Hybrid,PRINCE GEORGES,2396
2024/04,Electric,HARFORD,1710
2024/04,Plug-In Hybrid,FREDERICK,1624
2024/04,Plug-In Hybrid,BALTIMORE CITY,1499
2024/04,Electric,CHARLES,1398
2024/04,Electric,CARROLL,1341
2024/04,Plug-In Hybrid,HARFORD,865
2024/04,Electric,CALVERT,704
2024/04,Electric,SAINT MARYS,682
2024/04,Plug-In Hybrid,CARROLL,653
2024/04,Electric,WASHINGTON,636
2024/04,Plug-In Hybrid,CHARLES,414
2024/04,Plug-In Hybrid,CALVERT,391
2024/04,Electric,CECIL,381
2024/04,Plug-In Hybrid,SAINT MARYS,380
2024/04,Electric,QUEEN ANNES,379
2024/04,Plug-In Hybrid,WASHINGTON,353
2024/04,Electric,TALBOT,328
2024/04,Electric,WORCESTER,316
2024/04,Electric,WICOMICO,310
2024/04,Plug-In Hybrid,CECIL,234
2024/04,Electric,ALLEGANY,219
2024/04,Plug-In Hybrid,QUEEN ANNES,209
2024/04,Plug-In Hybrid,WICOMICO,204
2024/04,Plug-In Hybrid,TALBOT,199
2024/04,Plug-In Hybrid,WORCESTER,181
2024/04,Plug-In Hybrid,ALLEGANY,152
2024/04,Electric,CAROLINE,137
2024/04,Electric,KENT,103
2024/04,Electric,DORCHESTER,94
2024/04,Plug-In Hybrid,CAROLINE,72
2024/04,Plug-In Hybrid,DORCHESTER,70
2024/04,Plug-In Hybrid,KENT,67
2024/04,Electric,GARRETT,52
2024/04,Plug-In Hybrid,GARRETT,49
2024/04,Electric,SOMERSET,36
2024/04,Plug-In Hybrid,SOMERSET,21