School Name,FARMS Pct,% Met or Exceeded Math Expectations
BARTH EL SCH,100,60.3
BELMONT HILLS EL SCH,14.8688,34.2
BLAIR MILL EL SCH,48.0916,83.1
BLUE BELL EL SCH,17.6692,49.2
BRIDGEPORT EL SCH,100,76.6
BROOKE EL SCH,30.9038,65.3
CALEY EL SCH,31.377,64.9
CANDLEBROOK EL SCH,29.5597,70.1
CHELTENHAM EL SCH,52.9274,66.4
CONSHOHOCKEN EL SCH,29.4872,76.2
CROOKED BILLET EL SCH,40.568,95.7
E M CROUTHAMEL EL SCH,53.9359,49.1
EAGLEVILLE EL SCH,34.5088,48.2
Evans Elementary School,17.8645,61.5
EVERGREEN EL SCH,22.334,72.7
FITZWATER EL SCH,22.6872,75.9
FORT WASHINGTON EL SCH,11.2,65.7
FRANCONIA EL SCH,30.6733,85.9
FRANKLIN EL SCH,100,61.4
GLENSIDE EL SCH,38.7863,75
GULPH ELEMENTARY SCH,45.0575,33.8
HALLOWELL EL SCH,35.8974,68.4
HEREFORD EL SCH,43.7383,37.4
JARRETTOWN EL SCH,12.6609,53.8
LIMERICK EL SCH,27.3585,57.9
LINCOLN EL SCH,100,75
LOWER GWYNEDD EL SCH,18.5471,31.4
Maple Glen Elementary ,10.989,42.4
MARLBOROUGH EL SCH,30.445,80.8
MARSHALL STREET EL SCH,100,77.6
MERION EL SCH,13.3484,35.3
MYERS EL SCH,50.6369,72.6
OAK RIDGE EL SCH,20.5882,55.9
OAKS EL SCH,19.6464,65.3
PAUL V FLY EL SCH,100,77.8
PINE ROAD EL SCH,17.5156,51.3
PLYMOUTH EL SCH,27.2581,69.6
RIDGE PARK EL SCH,22.2018,87
ROBERTS EL SCH,32.8671,77.4
ROYERSFORD EL SCH,46.9136,69.1
RUPERT EL SCH,100,57.6
RYDAL WEST SCH,21.4286,33
Salford Hills El Sch,15.7175,73.5
Schwenksville Elementary,33.2623,75.4
SHADY GROVE EL SCH,26.1236,55.9
SIMMONS EL SCH,18.239,75.5
SKIPPACK EL SCH,16.6372,68.3
SPRING CITY EL SCH,49.2647,73.5
STONY CREEK EL SCH,16.6922,46.2
Upper Moreland El Sch,37.7358,89
Upper Providence Elementary School,10.6599,59.3
Vernfield El Sch,20.8984,82.2
WEST BROAD STREET EL SCH,40.6824,63.4
WHITEHALL EL SCH,100,59.7
WHITEMARSH EL SCH,11.4851,26.1
WOODLAND EL SCH,19.6388,88.6
WYNCOTE EL SCH,41.5385,81.2